SDK_name,weight,develop_file,aar_jar_path,remarks,
com.keymob,12,https://github.com/keymobdev/keymob,keymob,Advertising Network Integration Platform,
com.baidu.ssp,11,https://union.baidu.com/miniappblog/sdk/AndroidSDK.html,baidu,Ad Networks,
com.yandex.mobile.ads,11,https://yandex.com/dev/mobile-ads/doc/android/quick-start/android-ads-component.html,Yandex,Ad Networks,
com.unionsy,8,https://open.4399.cn/console/doc#/mobilegame/ad/client,4399,Ad Networks,
cn.domob.android,7,http://dev.domob.cn/help/index.htm?t=tab2,Domob,Ad Networks,
com.alimama.ad,6,https://developer.alibaba.com/docs/doc.htm?spm=a219a.7629140.0.0.586175febXH6M2&treeId=129&articleId=118885&docType=1,AliBaichuan,Ad Networks,
com.adsmogo,6,https://blog.csdn.net/techkuki/article/details/41776549,AdsMogo,Advertising Network Integration Platform,
jd.wjlogin_sdk.common,5,http://news.jd.com/153_1.html,Jingdong,Ad Networks,
cn.smartmad,4,/,smartmad,Not support,
net.nend.android,4,https://developers.geniee.co.jp/android/reward/mediation/RewardVideo-Ads-Integration-ADNW-Nend-For-Android.html,nend,Ad Networks,
com.iBookStar.zip,4,/,iBookStar,Not support,
com.intowow.sdk.d,4,https://intowow.gitbook.io/crystalexpress-documentation-v3-x/android-sdk/quickstart-guide/step-1.-setup-and-initialize-sdk,intowow,Ad Networks,
com.cmcm.adsdk.config,4,https://superman.cmcm.com/gamesdk/sdk_download/document_android.html,cmgame,"Advertising Network Integration Platform, using x5(Chuanshanjia) or gdt(Guangdiantong)",
com.airpush,4,/,Airpush,Not support,
com.admixer,3,https://docs.admixer.net/3/en/topic/get-started-sdk,AdMixer,Ad Networks,
me.kiip,3,/,Kiip,Not support,
com.IGAWorks.AdPOPcorn.cores.popicon,3,http://help.igaworks.com/hc/en/3_3/Content/Article/adpopcorn_pluslock_aos_all,IGAWorks,Ad Networks,
com.mopub,2,https://support.aerserv.com/hc/en-us/articles/205958990-How-to-Set-Up-MoPub-as-an-Ad-Source-,MoPub,Not support,
com.inmobi,2,https://support.inmobi.com/monetize/sdk-documentation/android-guidelines/overview-android-guidelines,InMobi,Ad Networks,
com.amazon.device.ads,2,https://www.codeproject.com/Articles/573259/Getting-Started-with-the-Amazon-Mobile-Ads-API,amazon,Not support from 2021,
com.wandoujia.ads,2,/,Wandoujia,Not support,
com.mobvista.msdk,2,https://github.com/mobvistateam/Android_SDK_7.6.0/wiki/Mobvista%E5%BF%85%E8%A6%81%E4%BA%8B%E9%A1%B9,mobvista,Ad Networks,
com.umeng.umsdk,2,https://developer.umeng.com/docs/191212/detail/191230,umeng,Ad Networks,
com.baidu.mobads,2,BaiduMobAds/BaiduMobAds_Development.pdf,BaiduMobAds,Not support,
com.qhad,2,https://www.cnblogs.com/recock/p/5014538.html,qhad,Not support,
com.mobfox,2,https://mobfox.atlassian.net/wiki/spaces/PUMD/pages/1205239832/Integrate+via+Android+SDK,mobfox,Ad Networks,
com.kuaiyou,2,adview/AdView_Development.pdf,adview,Ad Networks,
